campaign_id,channel,impressions,clicks,conversions,revenue,cost,date,CTR,conversion_rate,CPC,ROI
C129,Google Ads,48798.0,2366.0,195,22055.66,7434.3,2024-10-06,0.048485593671871795,0.08241758241758242,3.142138630600169,1.9667433383102646
C123,Unknown,2282.0,32.0,2,161.5,13.17,2024-04-11,0.014022787028921999,0.0625,0.4115625,11.262718299164769
C240,Unknown,14646.0,1067.0,104,13697.01,3720.62,2024-03-22,0.07285265601529428,0.09746954076850985,3.486991565135895,2.6813783724218005
C209,YouTube Ads,18410.0,584.0,168,9596.7,402.69,2024-02-19,0.03172189027702336,0.2876712328767123,0.6895376712328767,22.83148327497579
C159,LinkedIn Ads,5429.0,704.0,184,11632.05,1551.84,2024-07-05,0.12967397310738626,0.26136363636363635,2.2043181818181816,6.49565032477575
C142,YouTube Ads,23483.0,923.0,87,12278.45,2789.07,2024-11-07,0.0393050291700379,0.09425785482123511,3.0217443120260024,3.40234558472896
C144,Email,10908.0,815.0,77,10745.72,2600.08,2024-04-22,0.07471580491382472,0.09447852760736196,3.190282208588957,3.132842066397957
C184,Google Ads,15210.0,1902.0,466,30831.99,1099.34,2024-10-17,0.12504930966469427,0.24500525762355416,0.5779915878023133,27.045909363800103
C181,Email,43154.0,3447.0,922,92199.32,3102.51,2024-03-12,0.07987672058210131,0.2674789672178706,0.9000609225413404,28.717654415296003
C164,LinkedIn Ads,49156.0,4514.0,1225,80747.19,5512.26,2024-03-11,0.09183009195215233,0.27137793531236154,1.2211475409836066,13.648654091062468
C231,,6157.0,713.0,186,5839.99,692.98,2024-12-14,0.11580315088517135,0.2608695652173913,0.9719214586255259,7.427357210886317
C209,Facebook Ads,25416.0,1612.0,481,40440.56,7058.19,2024-01-06,0.06342461441611583,0.29838709677419356,4.378529776674938,4.729593564355734
C130,LinkedIn Ads,42206.0,2432.0,248,7971.24,762.75,2024-05-14,0.057622139032365065,0.10197368421052631,0.31363075657894735,9.450658800393313
C229,Instagram Ads,33471.0,4611.0,1216,,13757.32,2024-11-07,0.13776104687640048,0.2637171980047712,2.9835870743873345,
C151,Instagram Ads,24704.0,2884.0,493,58670.8,7289.27,2024-01-01,0.11674222797927461,0.17094313453536755,2.5274861303744802,7.048926710082079
C183,,1476.0,37.0,4,591.78,136.47,2024-05-02,0.025067750677506776,0.10810810810810811,3.6883783783783786,3.3363376566278298
C115,Email,37382.0,5329.0,234,18261.05,3147.8,2024-09-29,0.14255524049007542,0.04391067742540814,0.5906924376055546,4.801210369146705
C133,,43437.0,3324.0,578,27228.38,13177.06,2024-08-04,0.07652462186615097,0.17388688327316487,3.964217809867629,1.0663471214368
C155,Email,46923.0,2516.0,751,75838.18,5384.29,2024-09-21,0.05361976003239349,0.29848966613672495,2.1400198728139905,13.085084570110451
C216,Facebook Ads,16446.0,681.0,78,7204.33,862.47,2024-04-22,0.04140824516599781,0.1145374449339207,1.2664757709251102,7.353136920704488
C102,Facebook Ads,46589.0,4582.0,385,52652.14,17917.77,2024-02-06,0.09834939578011977,0.0840244434744653,3.910469227411611,1.9385431334368057
C232,Email,18450.0,1912.0,152,4335.6,8086.15,2024-10-19,0.10363143631436314,0.0794979079497908,4.229157949790795,-0.4638239458827748
C248,,16125.0,1932.0,475,17412.26,1366.14,2024-08-08,0.1198139534883721,0.2458592132505176,0.707111801242236,11.745589763860218
C191,Unknown,27141.0,2045.0,458,47756.13,9066.5,2024-02-20,0.0753472606020412,0.223960880195599,4.433496332518337,4.267317046269232
C116,Unknown,47924.0,2755.0,719,32219.75,3027.41,2024-08-17,0.057486854185794176,0.26098003629764066,1.0988784029038112,9.642678064748416
C136,Unknown,12225.0,598.0,53,7380.63,1292.37,2024-10-08,0.0489161554192229,0.08862876254180602,2.1611538461538458,4.710926437475337
C143,Unknown,32026.0,2478.0,649,88485.96,2456.88,2024-01-02,0.07737463311059764,0.2619047619047619,0.9914769975786926,35.01558073654391
C225,Instagram Ads,12645.0,651.0,189,17215.11,1677.77,2024-06-09,0.05148279952550415,0.2903225806451613,2.5772196620583716,9.260709155605356
C115,Google Ads,38484.0,2953.0,819,69088.92,1591.35,2024-09-17,0.0767331878183141,0.2773450728073146,0.5388926515408059,42.41528890564615
C121,Instagram Ads,4690.0,437.0,91,3906.5,351.14,2024-10-18,0.09317697228144989,0.20823798627002288,0.8035240274599542,10.125192231018968
C164,Google Ads,40791.0,876.0,178,15865.45,1426.79,2024-05-13,0.02147532543943517,0.20319634703196346,1.628755707762557,10.11968124250941
C153,YouTube Ads,15842.0,747.0,42,4215.54,1658.6,2024-02-07,0.04715313723014771,0.05622489959839357,2.2203480589022755,1.541625467261546
C103,,40908.0,6127.0,1831,37089.65,7323.29,2024-05-15,0.14977510511391415,0.2988411947119308,1.1952488983189162,4.064615766957201
C134,YouTube Ads,4708.0,626.0,77,2470.51,2379.88,2024-12-26,0.13296516567544606,0.12300319488817892,3.8017252396166135,0.03808175202111035
C168,Facebook Ads,7214.0,821.0,52,2571.19,972.59,2024-06-24,0.11380648738563903,0.06333739342265529,1.1846406820950062,1.6436525154484416
C153,LinkedIn Ads,33322.0,2612.0,714,91716.53,1796.15,2024-08-04,0.07838665146149691,0.27335375191424194,0.6876531393568147,50.062845530718484
C171,Google Ads,432.0,24.0,1,147.17,23.49,2024-08-14,0.05555555555555555,0.041666666666666664,0.9787499999999999,5.265219242230737
C242,Unknown,36959.0,419.0,17,2271.79,1716.43,2024-10-06,0.011336886820530858,0.0405727923627685,4.096491646778043,0.32355528626276625
C110,YouTube Ads,38375.0,3352.0,470,7452.34,6139.31,2024-01-21,0.0873485342019544,0.14021479713603818,1.8315363961813844,0.2138725687414383
C192,Email,44899.0,2017.0,98,11683.19,8094.96,2024-07-27,0.04492304951112497,0.04858701041150223,4.013366385721368,0.4432671687074427
C140,Email,10849.0,1591.0,393,52425.52,642.93,2024-06-19,0.14664946077979538,0.2470144563167819,0.40410433689503455,80.54156751123762
C206,Email,17685.0,571.0,123,7817.37,264.17,2024-08-28,0.03228724908114221,0.21541155866900175,0.4626444833625219,28.59219442025968
C157,Email,30366.0,1790.0,447,58997.4,2212.94,2024-12-03,0.05894750708028716,0.24972067039106144,1.2362793296089385,25.66018961200936
C150,Unknown,21712.0,1063.0,41,4848.89,1886.63,2024-09-17,0.04895910095799558,0.03857008466603951,1.7748165569143934,1.5701329884503057
C203,YouTube Ads,2008.0,52.0,15,524.99,225.82,2024-05-15,0.025896414342629483,0.28846153846153844,4.342692307692308,1.3248162253121956
C110,Facebook Ads,39296.0,2783.0,623,33588.94,7920.63,2024-09-18,0.07082145765472313,0.2238591448077614,2.8460761767876392,3.240690450128336
C130,Unknown,37987.0,1390.0,45,3197.16,3452.29,2024-10-02,0.036591465501355724,0.03237410071942446,2.483661870503597,-0.0739016710647136
C177,LinkedIn Ads,43905.0,2949.0,391,20094.17,2461.26,2024-08-03,0.06716774854800137,0.13258731773482538,0.8346083418107834,7.164180135377812
C198,Instagram Ads,40538.0,3635.0,486,61586.66,5729.76,2024-04-17,0.0896689525876955,0.13370013755158183,1.5762751031636864,9.748558403842395
C211,YouTube Ads,30673.0,2203.0,460,37519.61,8005.02,2024-03-27,0.07182212369184625,0.20880617339990923,3.6336904221516115,3.6870101511301656
C122,LinkedIn Ads,33980.0,3497.0,676,15598.16,15031.5,2024-04-30,0.10291347851677457,0.19330855018587362,4.29839862739491,0.037698167182250594
C180,Email,13250.0,405.0,13,1920.76,1161.28,2024-02-07,0.030566037735849056,0.03209876543209877,2.867358024691358,0.6540024800220446
C217,Unknown,41472.0,3757.0,830,52918.3,7433.38,2024-03-16,0.09059124228395062,0.2209209475645462,1.9785413894064414,6.119009118328406
C102,Facebook Ads,28062.0,1140.0,279,29972.31,2566.26,2024-10-12,0.040624331836647425,0.24473684210526317,2.251105263157895,10.679373874821724
C164,Facebook Ads,30114.0,863.0,129,,2284.78,2024-06-11,0.028657767151491,0.14947856315179606,2.6474855156431056,
C214,Unknown,36105.0,2615.0,168,21942.36,5727.62,2024-05-06,0.0724276416008863,0.06424474187380497,2.1902944550669217,2.8309734235162254
C171,,41274.0,1795.0,256,28133.45,2306.35,2024-06-20,0.04348984833066822,0.1426183844011142,1.284874651810585,11.198256986146944
C182,Facebook Ads,9268.0,288.0,36,1130.14,345.2,2024-07-31,0.03107466551575313,0.125,1.198611111111111,2.273870220162225
C205,YouTube Ads,35760.0,2690.0,100,12660.48,5207.31,2024-10-26,0.07522371364653244,0.03717472118959108,1.9358029739776954,1.4312898598316595
C106,Unknown,31459.0,340.0,40,4619.46,1320.72,2024-08-02,0.010807717982135479,0.11764705882352941,3.884470588235294,2.497683081955297
C238,Email,32196.0,1310.0,186,2615.81,2242.38,2024-12-13,0.04068828425891415,0.14198473282442747,1.7117404580152673,0.16653288024331284
